datetime,open,high,low,close,volume
2019-06-04 01:48:00+00:00,8004.24,8024.48,8000.75,8017.72,19.091515
2019-06-04 01:49:00+00:00,8017.86,8022.03,8012.0,8020.12,39.53684
2019-06-04 01:50:00+00:00,8020.11,8028.0,8015.33,8026.69,21.063132
2019-06-04 01:51:00+00:00,8028.0,8032.74,8016.66,8021.82,26.691479
2019-06-04 01:52:00+00:00,8023.73,8029.63,8014.92,8015.71,34.121531
2019-06-04 01:53:00+00:00,8015.05,8023.24,8000.71,8021.05,31.044254
2019-06-04 01:54:00+00:00,8018.93,8023.64,8008.03,8014.68,30.135271
2019-06-04 01:55:00+00:00,8015.43,8019.64,8011.01,8019.14,14.153696
2019-06-04 01:56:00+00:00,8022.69,8026.83,8016.42,8021.22,21.682803
2019-06-04 01:57:00+00:00,8021.22,8032.22,8018.94,8025.25,21.894119
2019-06-04 01:58:00+00:00,8023.62,8026.12,8019.0,8024.18,17.077137
2019-06-04 01:59:00+00:00,8021.47,8029.18,8020.0,8026.47,20.852641
2019-06-04 02:00:00+00:00,8026.51,8030.0,8022.72,8026.27,33.46191
2019-06-04 02:01:00+00:00,8023.76,8029.89,8018.0,8019.42,21.734202
2019-06-04 02:02:00+00:00,8019.52,8025.88,8014.7,8014.7,40.161022
2019-06-04 02:03:00+00:00,8018.48,8022.34,8015.0,8015.83,27.737923
2019-06-04 02:04:00+00:00,8015.01,8015.91,8000.0,8008.69,39.975299
2019-06-04 02:05:00+00:00,8008.69,8015.16,8006.3,8007.56,17.719079
2019-06-04 02:06:00+00:00,8007.52,8011.0,8002.01,8004.93,31.716443
2019-06-04 02:07:00+00:00,8004.86,8004.86,7987.0,7988.56,99.344269
2019-06-04 02:08:00+00:00,7988.56,7994.88,7983.74,7986.16,48.289115
2019-06-04 02:09:00+00:00,7986.16,7997.54,7981.0,7996.17,39.700741
2019-06-04 02:10:00+00:00,7992.68,7995.94,7983.38,7984.99,33.780017
2019-06-04 02:11:00+00:00,7984.82,7995.74,7981.0,7989.81,29.21233
2019-06-04 02:12:00+00:00,7989.8,7995.73,7988.46,7993.56,36.848571
2019-06-04 02:13:00+00:00,7992.59,8004.9,7991.99,8004.9,24.819199
2019-06-04 02:14:00+00:00,8005.88,8013.99,8002.01,8012.01,19.155945
2019-06-04 02:15:00+00:00,8012.04,8015.9,8007.36,8010.77,17.670403
2019-06-04 02:16:00+00:00,8010.78,8019.16,8004.61,8013.54,13.845139
2019-06-04 02:17:00+00:00,8015.75,8025.0,8014.9,8022.68,20.327958
2019-06-04 02:18:00+00:00,8022.68,8024.97,8001.92,8010.88,43.761021
2019-06-04 02:19:00+00:00,8012.55,8013.78,7991.86,8001.23,33.873051
2019-06-04 02:20:00+00:00,8001.26,8005.66,7992.53,7999.34,18.534357
2019-06-04 02:21:00+00:00,8001.96,8001.96,7990.18,7995.45,20.022951
2019-06-04 02:22:00+00:00,7995.37,8003.13,7990.24,8001.12,17.049393
2019-06-04 02:23:00+00:00,8000.03,8017.47,8000.03,8014.29,59.862066
2019-06-04 02:24:00+00:00,8012.55,8019.39,8008.38,8014.21,19.814386
2019-06-04 02:25:00+00:00,8014.91,8015.97,7995.42,8009.17,80.292206
2019-06-04 02:26:00+00:00,8011.89,8014.0,8004.11,8007.7,15.288554
2019-06-04 02:27:00+00:00,8009.19,8009.98,8004.77,8009.56,17.223144
2019-06-04 02:28:00+00:00,8009.54,8015.0,8008.93,8008.93,68.025182
2019-06-04 02:29:00+00:00,8010.0,8014.49,8010.0,8012.58,15.234297
2019-06-04 02:30:00+00:00,8012.42,8029.85,8011.33,8027.27,42.433696
2019-06-04 02:31:00+00:00,8027.27,8029.25,8015.79,8023.63,71.977338
2019-06-04 02:32:00+00:00,8022.74,8034.26,8020.49,8031.42,31.92927
2019-06-04 02:33:00+00:00,8031.53,8039.34,8024.28,8031.31,16.944251
2019-06-04 02:34:00+00:00,8029.75,8034.11,8020.65,8025.04,25.559022
2019-06-04 02:35:00+00:00,8025.04,8028.3,8022.33,8025.0,10.089231
2019-06-04 02:36:00+00:00,8025.0,8033.23,8025.0,8030.04,16.505483
2019-06-04 02:37:00+00:00,8030.03,8039.17,8028.13,8036.29,20.427371
2019-06-04 02:38:00+00:00,8036.28,8037.93,8030.12,8031.28,19.572221
2019-06-04 02:39:00+00:00,8031.25,8032.29,8031.01,8032.21,16.383659
2019-06-04 02:40:00+00:00,8032.29,8035.0,8031.0,8032.15,23.293729
2019-06-04 02:41:00+00:00,8032.15,8034.99,8031.11,8032.64,16.652711
2019-06-04 02:42:00+00:00,8032.64,8035.0,8032.3,8035.0,30.058717
2019-06-04 02:43:00+00:00,8035.0,8039.65,8019.57,8022.48,40.753326
2019-06-04 02:44:00+00:00,8023.21,8030.0,8022.49,8029.68,15.767957
2019-06-04 02:45:00+00:00,8026.92,8029.39,8011.3,8015.09,76.04039
2019-06-04 02:46:00+00:00,8017.2,8020.32,8008.0,8019.42,13.619226
2019-06-04 02:47:00+00:00,8018.67,8020.65,8016.57,8019.02,10.120805
2019-06-04 02:48:00+00:00,8019.0,8029.77,8019.0,8027.67,10.67112
2019-06-04 02:49:00+00:00,8028.0,8029.66,8024.26,8028.02,14.425963
2019-06-04 02:50:00+00:00,8028.02,8030.0,8026.27,8027.36,7.912756
2019-06-04 02:51:00+00:00,8028.33,8034.95,8024.31,8031.94,97.539952
2019-06-04 02:52:00+00:00,8032.81,8038.01,8025.82,8029.89,44.723438
2019-06-04 02:53:00+00:00,8028.52,8034.99,8027.92,8032.21,74.928977
2019-06-04 02:54:00+00:00,8032.56,8035.0,8028.0,8028.63,29.482869
2019-06-04 02:55:00+00:00,8028.23,8030.99,8022.24,8029.84,33.416606
2019-06-04 02:56:00+00:00,8026.89,8030.87,8026.87,8030.78,7.862596
2019-06-04 02:57:00+00:00,8030.78,8033.52,8028.56,8031.0,20.843268
2019-06-04 02:58:00+00:00,8033.37,8039.78,8030.0,8037.12,27.280158
