open,high,low,close,volume,datetime
8657.19,8667.63,8655.7,8662.47,9.735126,2019-06-02 21:09:00+00:00
8662.47,8666.92,8660.01,8663.61,3.171427,2019-06-02 21:10:00+00:00
8667.03,8673.19,8661.22,8664.04,4.067855,2019-06-02 21:11:00+00:00
8661.76,8667.21,8661.76,8662.35,12.955942,2019-06-02 21:12:00+00:00
8662.54,8666.89,8662.24,8663.02,4.883571,2019-06-02 21:13:00+00:00
8663.79,8670.34,8663.0,8667.86,10.018416,2019-06-02 21:14:00+00:00
8668.07,8669.35,8663.0,8669.35,3.512724,2019-06-02 21:15:00+00:00
8667.21,8673.0,8666.52,8671.12,4.279584,2019-06-02 21:16:00+00:00
8671.12,8673.46,8669.29,8673.46,4.589328,2019-06-02 21:17:00+00:00
8674.23,8680.0,8673.46,8679.2,7.76348,2019-06-02 21:18:00+00:00
8676.67,8682.1,8676.67,8681.05,6.29647,2019-06-02 21:19:00+00:00
8681.03,8688.51,8680.71,8688.51,8.641559,2019-06-02 21:20:00+00:00
8687.65,8687.65,8682.04,8685.0,2.477545,2019-06-02 21:21:00+00:00
8685.0,8690.58,8682.5,8686.07,6.338193,2019-06-02 21:22:00+00:00
8686.07,8687.2,8684.0,8684.0,4.943943,2019-06-02 21:23:00+00:00
8684.0,8689.67,8682.5,8688.59,10.188622,2019-06-02 21:24:00+00:00
8687.09,8689.68,8687.0,8688.57,5.07556,2019-06-02 21:25:00+00:00
8688.57,8688.8,8685.0,8687.56,13.741354,2019-06-02 21:26:00+00:00
8687.56,8687.56,8673.96,8675.0,7.056512,2019-06-02 21:27:00+00:00
8674.98,8680.84,8670.05,8673.3,4.531833,2019-06-02 21:28:00+00:00
8672.74,8674.0,8670.5,8670.5,7.167179,2019-06-02 21:29:00+00:00
8670.5,8674.88,8670.02,8672.43,6.928875,2019-06-02 21:30:00+00:00
8673.12,8677.0,8672.35,8673.16,6.219098,2019-06-02 21:31:00+00:00
8673.16,8678.0,8672.45,8675.25,6.737926,2019-06-02 21:32:00+00:00
8674.26,8678.05,8672.63,8678.05,5.365809,2019-06-02 21:33:00+00:00
8678.51,8683.0,8678.51,8682.0,6.363098,2019-06-02 21:34:00+00:00
8681.0,8684.99,8680.11,8684.99,4.646249,2019-06-02 21:35:00+00:00
8683.93,8688.11,8683.93,8685.04,6.691274,2019-06-02 21:36:00+00:00
8685.85,8687.9,8681.35,8682.29,4.612587,2019-06-02 21:37:00+00:00
8683.93,8688.05,8682.59,8688.03,4.89865,2019-06-02 21:38:00+00:00
8685.88,8689.68,8685.88,8688.0,4.584634,2019-06-02 21:39:00+00:00
8689.68,8689.77,8685.93,8685.95,6.451083,2019-06-02 21:40:00+00:00
8685.95,8689.68,8685.95,8687.05,3.400515,2019-06-02 21:41:00+00:00
8687.03,8689.62,8686.1,8687.79,2.859025,2019-06-02 21:42:00+00:00
8687.54,8693.11,8687.54,8691.12,7.907316,2019-06-02 21:43:00+00:00
8693.11,8708.0,8690.49,8708.0,51.052382,2019-06-02 21:44:00+00:00
8708.0,8710.0,8707.0,8709.0,15.936366,2019-06-02 21:45:00+00:00
8708.04,8710.0,8705.79,8706.98,9.79088,2019-06-02 21:46:00+00:00
8705.82,8706.94,8675.35,8685.06,23.133668,2019-06-02 21:47:00+00:00
8684.61,8690.29,8682.19,8690.29,7.341699,2019-06-02 21:48:00+00:00
8690.29,8698.62,8688.89,8696.02,6.062117,2019-06-02 21:49:00+00:00
8695.34,8701.99,8690.35,8700.02,8.467608,2019-06-02 21:50:00+00:00
8700.0,8702.97,8697.61,8698.32,4.026285,2019-06-02 21:51:00+00:00
8698.35,8699.77,8685.0,8686.43,5.742952,2019-06-02 21:52:00+00:00
8686.43,8688.29,8680.43,8688.29,4.166581,2019-06-02 21:53:00+00:00
8687.78,8694.09,8685.01,8690.76,5.749805,2019-06-02 21:54:00+00:00
8689.77,8696.28,8684.82,8690.91,12.163692,2019-06-02 21:55:00+00:00
8694.87,8696.97,8689.61,8689.61,7.409257,2019-06-02 21:56:00+00:00
8694.71,8701.14,8689.62,8698.11,9.171029,2019-06-02 21:57:00+00:00
8698.11,8699.53,8695.09,8695.58,3.373085,2019-06-02 21:58:00+00:00
